RECORDID,EXTERNALID
R24666124,843750
R24666125,843751
R24666126,843752
R24666127,843753
R24666128,843754
R24666129,843755
R24666130,843756
R24666131,843757
R24666132,843758
R24666133,843759
R24666134,843760
R24666135,843761
R24666136,843762
R24666137,843763
R24666138,843764
R24666139,843765
R24666140,843766
R24666141,843767
R24666142,843768
R24666143,843769
R24666144,843770
R24666145,843771
R24666146,843772
R24666147,843773
R24666148,843774
R24666149,843775
R24666150,843776
R24666151,843777
R24666152,843778
R24666153,843779
R24666154,843780
R24666155,843781
R24666156,843782
R24666157,843783
R24666158,843784
R24666159,843785
R24666160,843786
R24666161,843787
R24666162,843788
R24666163,843789
R24666164,843790
R24666165,843791
R24666166,843792
R24666167,843793
R24666168,843794
R24666169,843795
R24666170,843796
R24666171,843797
R24666172,843798
R24666173,843799
R24666174,843800
R24666175,843801
R24666176,843802
R24666177,843803
R24666178,843804
R24666179,843805
R24666180,843806
R24666181,843807
R24666182,843808
R24666183,843809
R24666184,843810
R24666185,843811
R24666186,843812
R24666187,843813
R24666188,843814
R24666189,843815
R24666190,843816
R24666191,843817
R24666192,843818
R24666193,843819
R24666194,843820
R24666195,843821
R24666196,843822
R24666197,843823
R24666198,843824
R24666199,843825
R24666200,843826
R24666201,843827
R24666202,843828
R24666203,843829
R24666204,843830
R24666205,843831
R24666206,843832
R24666207,843833
R24666208,843834
R24666209,843835
R24666210,843836
R24666211,843837
R24666212,843838
R24666213,843839
R24666214,843840
R24666215,843841
R24666216,843842
R24666217,843843
R24666218,843844
R24666219,843845
R24666220,843846
R24666221,843847
R24666222,843848
R24666223,843849
R24666224,843850
R24666225,843851
R24666226,843852
R24666227,843853
R24666228,843854
R24666229,843855
R24666230,843856
R24666231,843857
R24666232,843858
R24666233,843859
